"","region","ubigeo","year","Cobre","Arsenico","Bismuto","Cadmio","Estaño","Magneso","Molibdeno","Oro","Plata","Plomo","Zinc","Hierro","GasNatural","LiquidoGasNatural","PetroleoCrudo","piatotalexpenditure","pimtotalexpenditure","TOTALDEV","expenditurefic2","collectrev","piacollected","pimcollected","totalrevenue","piatotalrevenue","pimtotalrevenue","canonminero","canonmineropia","canonmineropim"
"1","ANCASH","02","2009",6311651493.09496,0,0,0,0,0,476750370.671136,610089412.470677,798493187.658279,210732989.259829,3966080009.27776,0,0,0,0,863058000,2173502254,987668111.769999,0.454413205385208,26431394.18,17730000,28553849,1774396979.7,326023000,1603244904,180771679.81,296886617,296886617
"2","ANCASH","02","2010",5995654267.48921,0,0,0,0,0,655531759.672811,436679278.837324,780824211.805381,158230481.009045,3440501847.19779,0,0,0,0,642518934,2110024052,1255020162.02,0.594789505004883,26684099.66,1.8e+07,27517278,1777510900.27,106919318,1542669182,196034866.65,82733063,89733063
"3","ANCASH","02","2011",6386176791.51991,0,0,0,0,0,1197003720.30373,348652964.893996,639688016.729211,123982326.254261,2316068017.6022,0,0,0,0,755535105,1998548842,1389191230.07,0.695099949836731,29078098.59,18415890,30911793,1354436809.5,194940039,1383123616,203429444.06,146560654,146560654
"4","ANCASH","02","2012",8483718760.60305,0,0,0,0,0,1052388416.92178,250440261.81294,675073769.152504,119270847.192048,2356501872.09405,0,0,0,0,768000189,1625498083,1546052077.3,0.951125144958496,32638887.62,23085890,37371432,953236725.68,182584938,897422157,214860609.71,153200958,214051665
"5","ANCASH","02","2013",8474476627.56996,0,0,0,0,0,872723587.819761,214091758.871687,828841303.82742,125203409.8833,2698423453.29536,0,0,0,0,896828428,1269404719,1226461737.4,0.966170787811279,31488712.22,23082040,35799869,490611454.59,229178961,482468126,212457252.61,195914920,195914920
"6","ANCASH","02","2014",6702706314.9087,0,0,0,0,0,273386300.616485,39218308.5281723,666626517.889613,124549362.21973,2249457217.21536,0,0,0,0,954983544,1294864702,1127739518.17,0.870932340621948,32452398.15,22971729,36927116,349607082.9,217034303,335979230,147076499.22,184868174,154402617
"7","ANCASH","02","2015",7619209420.16006,0,0,0,0,0,387599741.414956,165617616.977783,870492255.611665,122527654.173947,2462771842.03276,0,0,0,0,882249959,1282511972,1046953864.87,0.816330671310425,36279258.15,16497000,33939335,346098117.06,108444377,325915984,83950048.86,83897165,82622164
"8","ANCASH","02","2016",8200041934.62415,0,0,0,0,0,896403623.552822,210731813.221656,998182591.948111,174092888.76399,2198619230.0552,0,0,0,0,934205504,1377796011,1161032089.56,0.842673420906067,41724169.26,19984024,42281960,354593400.21,93221820,323812410,63458623,64131507,63843551
"9","ANCASH","02","2017",8069858136.4845,0,0,0,0,0,762043907.422655,271587319.318532,1019364030.63011,229896001.831286,3543546336.64187,0,0,0,0,1063412499,1625125383,1383908288.6,0.851570188999176,40133386.54,25137132,45543064,322640817.6,99941965,407926452,99689653.02,61007778,112179060
"10","ANCASH","02","2018",8440198454.74107,0,0,0,0,0,888798356.602058,199380453.499138,867201761.007965,152733560.779421,3806962001.0892,0,0,0,0,1425473662,2118617936,1764974536.53,0.833078265190125,38317145.63,44527514,56031237,769909132.14,295311397,829701975,217882966.9,67334441,220080250
